subID,group,day,path_length,median_velocity,median_abs_acceleration,median_abs_angular_velocity,search_area,thigmotaxis
Tg113_D2,tg,D2,2344.93478328009,4.115448182185,13.0548360028596,6.54855887680399,0.105922551252847,1785.23333333333
Tg114_D1,tg,D1,2595.56060269077,4.1830551378615,12.3476484471776,7.38764278685994,0.0680523917995444,1779.1
Tg114_D2,tg,D2,1951.58898224977,3.97091436161889,10.9725522500995,6.19103372195386,0.0179384965831435,1789.26666666667
WT200_D1,wt,D1,2617.68551576037,3.96646578181753,10.87153988446,6.72267619557753,0.0714692482915718,1783.4
WT200_D2,wt,D2,3106.71000041408,4.28200818512483,14.1687883814157,6.34167909084665,0.110763097949886,1777.5
WT201_D1,wt,D1,5846.4263874026,4.99281701178149,15.1875782828618,7.24797676596124,0.0609339407744875,1463.43333333333
WT201_D2,wt,D2,2720.10831803391,4.30282986262924,13.0256524134214,6.674402359981,0.0874145785876993,1682.9
WT202_D1,wt,D1,3596.93295669555,4.56053405375928,13.8459207557015,7.82587153899892,0.0945330296127563,1756.06666666667
WT202_D2,wt,D2,3524.72297259643,4.44915888288619,13.9080904086339,7.15644812551153,0.105637813211845,1747.86666666667
WT203_D1,wt,D1,2953.39299474851,4.30763452680008,13.7149271811304,6.8436329095361,0.0427107061503417,118.866666666667
WT203_D2,wt,D2,1795.26141772234,4.16647968719511,13.4203754669579,7.05743652771789,0.0503986332574032,1770.63333333333
WT204_D1,wt,D1,1974.46317425741,4.15432524007742,12.9702254724018,7.47802199316356,0.068621867881549,1764.13333333333
WT204_D2,wt,D2,3079.7732939489,4.32522676412736,13.3927481541095,6.9588150354753,0.132972665148064,1635.66666666667
WT205_D1,wt,D1,1755.04007820043,4.26563079154709,14.4202017549731,6.89624746187515,0.0404328018223235,542.4
WT205_D2,wt,D2,1197.78191320968,3.94339482101907,11.8739028678585,6.73895226070015,0.0247722095671982,1783.3
WT206_D1,wt,D1,4111.45582407299,4.40564297446068,14.5283748764001,6.62775245617416,0.124430523917995,1308.83333333333
WT206_D2,wt,D2,3812.74320589652,4.27296569191097,13.0044993047186,6.95655401143993,0.137813211845103,1774.96666666667
WT207_D1,wt,D1,3560.17837610133,4.50983079763729,14.5625844009009,6.92571523758219,0.110763097949886,536.566666666667
WT207_D2,wt,D2,2269.9965649448,4.08770201838407,12.1378714506801,7.50581141223753,0.0817198177676538,1778.56666666667
WT208_D1,wt,D1,3117.06524195568,4.35907534387807,14.1973650510599,6.76603693297045,0.097380410022779,875.733333333333
WT208_D2,wt,D2,1547.90421900233,3.91183831582323,12.4878570447426,8.43296787049034,0.0333143507972665,1772.6
WT209_D1,wt,D1,6336.67702003519,4.86738611065005,15.855203051211,6.92093774939948,0.283883826879271,1219.63333333333
WT209_D2,wt,D2,4401.08691558228,4.45811924867098,14.5126543625281,7.13332375001945,0.14379271070615,1794.8
WT210_D1,wt,D1,4186.63654095153,4.49049986133097,14.7161081294523,7.44807803488536,0.0925398633257403,1683.43333333333
WT210_D2,wt,D2,6562.52707481165,5.2714291127678,16.9786853626481,8.41519557060417,0.290717539863326,1725.43333333333
WT211_D1,wt,D1,4032.33851834623,4.50945830008349,15.5767836746621,7.23421744740982,0.0825740318906606,933.866666666667
WT211_D2,wt,D2,5594.83160800501,5.10580643221999,17.0994993268821,6.58073672444219,0.234908883826879,1723.9
