subID,group,day,time_point,thigmotaxis,median_velocity,path_length,search_area,n_stops,median_stop_duration,median_inter_stop_interval,time_in_homebase,hb_stop_distance,hb_close_stops,time2hb,n_home_bases
102,tg,3,12,560.777777777778,8.69237584863854,872.836833934138,0.300952380952381,25,7.88888888888889,14.7777777777778,238.888888888889,23.2785855475744,16,6.652,1
102,tg,3,4,447.777777777778,8.94898466840763,1729.43808319752,0.518095238095238,35,4.77777777777777,9.66666666666667,137.777777777778,19.8647591714312,24,121.431,2
102,tg,3,7,558.555555555556,7.73740781477312,909.28273888536,0.340952380952381,20,10.2222222222222,14.2222222222222,149.888888888889,28.4158578743833,8,78.976,5
103,tg,1,12,559.888888888889,7.1175334748934,608.856316947363,0.262857142857143,23,9.44444444444444,7.27777777777777,143.888888888889,35.2685490242946,9,356.144,5
103,tg,1,4,337.333333333333,7.80869006967248,1590.05949764172,0.493333333333333,26,7.00000000000001,11.4444444444444,183.222222222222,23.6781288416181,14,89.954,2
103,tg,1,7,546.555555555556,7.7757009470708,920.651299800256,0.308571428571429,27,6.33333333333337,10.7222222222222,191.444444444444,14.7050396604113,22,58.598,2
103,tg,2,12,567.444444444444,8.82204302411395,662.174844903952,0.224761904761905,25,5.33333333333334,10,123.222222222222,29.5311982495886,10,48.663,3
103,tg,2,4,255.111111111111,9.83470870200622,1572.19181084649,0.504761904761905,26,2,7.66666666666669,288.555555555556,29.2183203822604,12,66.831,2
103,tg,2,7,504,10.1563737053039,1546.0521569318,0.483809523809524,28,6.94444444444443,12.3333333333334,159.222222222222,20.5995373466073,19,17.052,6
103,tg,3,12,560,9.97944723552224,708.563338534828,0.281904761904762,17,22.3333333333333,18.7777777777778,362.555555555556,18.0842879213928,12,115.996,2
103,tg,3,4,432.444444444444,8.58341275765375,1279.02524609009,0.506666666666667,19,5.11111111111109,12.5,134.666666666667,24.8324655272491,10,118.695,5
103,tg,3,7,456.777777777778,9.00408094463894,1095.49297914805,0.346666666666667,19,13,12.5,163.333333333333,31.2207020640146,8,9.556,7
104,tg,1,12,441.888888888889,6.94881760687942,614.563897054668,0.213333333333333,19,12.4444444444444,22.6111111111111,260.333333333333,7.28143622899727,19,40.109,4
104,tg,1,4,264.333333333333,8.83431705841706,1983.25045006292,0.563809523809524,25,5.5555555555556,14.6666666666667,95.8888888888889,24.8978221537252,13,69.445,2
104,tg,1,7,359.888888888889,10.671049897067,2333.0268995198,0.643809523809524,37,6.22222222222223,10.0555555555556,110.222222222222,28.9020294835152,15,47.517,8
104,tg,2,12,504.555555555556,8.93594659024165,1279.93456314732,0.417142857142857,23,11.2222222222222,15.5555555555556,128.777777777778,22.889497595131,13,41.631,8
104,tg,2,4,324.222222222222,9.31032418709833,2439.2552180174,0.60952380952381,40,3.27777777777779,6.88888888888891,80.5555555555556,30.7155504429138,19,82.479,5
104,tg,2,7,465.444444444444,10.3089696126257,2226.48097161175,0.60952380952381,39,4.55555555555554,9.44444444444441,160,25.9706402223259,20,35.705,6
